호선명,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2호선,강남,173 ,8 ,7896 ,12067 ,18238 ,57141 ,41872 ,165152 ,65200 ,320711 ,54376 ,321764 ,56291 ,155422 ,72752 ,103666 ,89392 ,99548 ,105061 ,113974 ,116662 ,100826 ,140196 ,96703 ,164793 ,105599 ,251532 ,136585 ,327013 ,178773 ,215890 ,106633 ,164513 ,60724 ,186763 ,52381 ,159568 ,42987 ,72549 ,24916 ,13233 ,7336 ,1 ,94 ,0 ,0 ,0 ,0 
2호선,교대(법원.검찰청),7 ,0 ,2441 ,7069 ,11877 ,27422 ,26771 ,61025 ,38450 ,162841 ,30478 ,137700 ,28877 ,70954 ,34188 ,60843 ,37379 ,54051 ,44220 ,59873 ,51664 ,52497 ,54879 ,50051 ,60827 ,51486 ,99912 ,66099 ,135943 ,74646 ,65148 ,43189 ,54295 ,28373 ,52500 ,26117 ,42613 ,23585 ,16092 ,12973 ,3247 ,4052 ,2 ,29 ,0 ,0 ,0 ,0 
2호선,서초,4 ,2 ,2392 ,4845 ,13829 ,21946 ,22370 ,57452 ,31404 ,116173 ,29416 ,92334 ,23010 ,43637 ,29900 ,34862 ,27641 ,26445 ,34462 ,27986 ,35537 ,26368 ,43373 ,23302 ,50434 ,24545 ,76341 ,26753 ,94825 ,27971 ,47288 ,19027 ,32421 ,12660 ,30472 ,11876 ,18155 ,11324 ,6202 ,6414 ,1071 ,1596 ,0 ,17 ,0 ,0 ,0 ,0 
2호선,방배,2 ,1 ,2627 ,3234 ,9205 ,12236 ,23773 ,29587 ,32669 ,79369 ,26185 ,57761 ,20708 ,35997 ,21592 ,28507 ,24664 ,30093 ,27003 ,26564 ,31173 ,27248 ,34537 ,25372 ,42964 ,25962 ,53034 ,32889 ,66529 ,38345 ,31350 ,26240 ,25272 ,17766 ,23694 ,16488 ,20356 ,16622 ,7654 ,9368 ,1700 ,2829 ,2 ,12 ,0 ,0 ,0 ,0 
2호선,사당,103 ,4 ,13336 ,3992 ,33413 ,37849 ,88715 ,54065 ,112694 ,75706 ,91424 ,54206 ,61534 ,47320 ,54928 ,56245 ,62381 ,56688 ,62806 ,54335 ,66053 ,54569 ,67056 ,66346 ,69907 ,86612 ,86950 ,129451 ,106661 ,180307 ,73952 ,118219 ,70683 ,75818 ,74748 ,70319 ,68540 ,66514 ,37556 ,41224 ,6614 ,12120 ,8 ,673 ,0 ,0 ,0 ,0 
2호선,낙성대(강감찬),45 ,4 ,11984 ,2249 ,28459 ,10278 ,86992 ,22572 ,127274 ,46777 ,83783 ,34957 ,47197 ,31366 ,39623 ,26584 ,42714 ,28224 ,42471 ,31091 ,37754 ,32138 ,39449 ,39096 ,42089 ,45108 ,46998 ,63637 ,53888 ,105166 ,31208 ,85234 ,25151 ,58405 ,23402 ,55118 ,18522 ,55153 ,9395 ,33346 ,1770 ,9849 ,2 ,134 ,0 ,0 ,0 ,0 
2호선,서울대입구(관악구청),5216 ,27 ,28747 ,2416 ,45680 ,14962 ,130793 ,30643 ,175807 ,73550 ,119634 ,63364 ,70568 ,57172 ,61642 ,48671 ,69578 ,51880 ,74018 ,55754 ,64952 ,57894 ,68973 ,66454 ,74629 ,78087 ,86123 ,109910 ,93161 ,176423 ,57323 ,137258 ,50764 ,89501 ,50255 ,85080 ,44743 ,83359 ,25027 ,49169 ,4375 ,18967 ,4 ,3354 ,0 ,0 ,0 ,0 
2호선,봉천,82 ,3 ,16086 ,1837 ,30912 ,7879 ,88457 ,13855 ,123865 ,28443 ,76858 ,21863 ,44698 ,19505 ,36335 ,20992 ,38024 ,24207 ,37317 ,25784 ,31944 ,29873 ,31286 ,38581 ,31957 ,44828 ,31232 ,60925 ,32980 ,91991 ,20989 ,73441 ,17436 ,48850 ,15005 ,45486 ,11083 ,42359 ,4823 ,25077 ,917 ,8632 ,3 ,309 ,0 ,0 ,0 ,0 
2호선,신림,199 ,11 ,38370 ,3945 ,71181 ,17284 ,189126 ,28893 ,271122 ,44881 ,165879 ,42894 ,94984 ,40002 ,77629 ,44517 ,83321 ,48468 ,78747 ,56570 ,70706 ,63013 ,68233 ,79687 ,72465 ,98835 ,77024 ,136043 ,77842 ,223737 ,54075 ,187442 ,45971 ,126786 ,42842 ,121912 ,36177 ,113444 ,21366 ,73030 ,4633 ,23446 ,5 ,445 ,0 ,0 ,0 ,0 
2호선,신대방,210 ,8 ,26384 ,2007 ,35720 ,9948 ,92232 ,15093 ,134456 ,26360 ,86691 ,19073 ,48666 ,19076 ,39377 ,20380 ,39482 ,23293 ,37348 ,28210 ,32575 ,31961 ,32238 ,43320 ,33526 ,49817 ,34540 ,66521 ,33848 ,97720 ,22692 ,81004 ,17866 ,59179 ,14286 ,61741 ,11151 ,57694 ,5616 ,33223 ,1168 ,9828 ,6 ,178 ,0 ,0 ,0 ,0 
